what,kind,bundleId,bundleVersion,description,time
started,bundle,org.eclipse.jsch.core,1.1.200.I20100505-1245,"org.eclipse.jsch.core",1425583409956
started,bundle,org.eclipse.ltk.core.refactoring,3.5.101.r362_v20101117-0800,"org.eclipse.ltk.core.refactoring",1425583409957
started,bundle,org.eclipse.ltk.ui.refactoring,3.5.0.v20100526-0800,"org.eclipse.ltk.ui.refactoring",1425583409958
started,bundle,org.eclipse.mylyn.bugzilla.core,3.4.2.v20100902-0100-e3x,"org.eclipse.mylyn.bugzilla.core",1425583409959
started,bundle,org.eclipse.mylyn.bugzilla.ui,3.4.3.v20110131-0100-e3x,"org.eclipse.mylyn.bugzilla.ui",1425583409960
started,bundle,org.eclipse.mylyn.commons.net,3.4.1.v20100625-2100-e3x,"org.eclipse.mylyn.commons.net",1425583409960
started,bundle,org.eclipse.mylyn.commons.ui,3.4.0.v20100608-0100-e3x,"org.eclipse.mylyn.commons.ui",1425583409961
started,bundle,org.eclipse.mylyn.context.core,3.4.1.v20100909-0100-e3x,"org.eclipse.mylyn.context.core",1425583409962
started,bundle,org.eclipse.mylyn.context.ui,3.4.2.v20110131-0100-e3x,"org.eclipse.mylyn.context.ui",1425583409963
started,bundle,org.eclipse.mylyn.monitor.ui,3.4.1.v20110131-0100-e3x,"org.eclipse.mylyn.monitor.ui",1425583409963
started,bundle,org.eclipse.mylyn.tasks.ui,3.4.3.v20110131-0100-e3x,"org.eclipse.mylyn.tasks.ui",1425583409964
started,bundle,org.eclipse.mylyn.team.ui,3.4.3.v20110131-0100-e3x,"org.eclipse.mylyn.team.ui",1425583409965
started,bundle,org.eclipse.search,3.6.0.v20100520-0800,"org.eclipse.search",1425583409966
started,bundle,org.eclipse.team.core,3.5.101.R36x_v20110203-1036,"org.eclipse.team.core",1425583409967
started,bundle,org.eclipse.team.cvs.core,3.3.301.R36x_v20110119-0815,"org.eclipse.team.cvs.core",1425583409968
started,bundle,org.eclipse.team.cvs.ui,3.3.302.R36x_v20110203-1036,"org.eclipse.team.cvs.ui",1425583409970
started,bundle,org.eclipse.team.ui,3.5.102.R36x_v20110203-1036,"org.eclipse.team.ui",1425583409972
started,bundle,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui",1425583409973
started,bundle,org.eclipse.ui.console,3.5.0.v20100526,"org.eclipse.ui.console",1425583409974
started,bundle,org.eclipse.ui.editors,3.6.1.r361_v20100825-0800,"org.eclipse.ui.editors",1425583409974
started,bundle,org.eclipse.ui.forms,3.5.2.r36_v20100702,"org.eclipse.ui.forms",1425583409975
started,bundle,org.eclipse.ui.ide,3.6.2.M20101201-0800,"org.eclipse.ui.ide",1425583409976
started,bundle,org.eclipse.ui.net,1.2.100.I20100505-1245,"org.eclipse.ui.net",1425583409977
started,bundle,org.eclipse.ui.views,3.5.1.M20110202-0800,"org.eclipse.ui.views",1425583409977
started,bundle,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"org.eclipse.ui.workbench",1425583409978
started,bundle,org.eclipse.ui.workbench.texteditor,3.6.1.r361_v20100714-0800,"org.eclipse.ui.workbench.texteditor",1425583409979
started,bundle,org.eclipse.update.configurator,3.3.100.v20100512,"org.eclipse.update.configurator",1425583409979
started,bundle,org.eclipse.update.core,3.2.402.R36x_v20100629,"org.eclipse.update.core",1425583409980
started,bundle,org.eclipse.update.scheduler,3.2.300.v20100512,"org.eclipse.update.scheduler",1425583409981
started,bundle,edu.stanford.cs106,1.0.0,"edu.stanford.cs106",1425583409981
os,sysinfo,,,"macosx",1425583409983
arch,sysinfo,,,"x86",1425583409983
ws,sysinfo,,,"cocoa",1425583409983
locale,sysinfo,,,"en_US",1425583409983
processors,sysinfo,,,"4",1425583409983
java.runtime.name,sysinfo,,,"Java(TM) SE Runtime Environment",1425583409983
java.runtime.version,sysinfo,,,"1.6.0_65-b14-466.1-11M4716",1425583409983
java.specification.name,sysinfo,,,"Java Platform API Specification",1425583409983
java.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1425583409983
java.specification.version,sysinfo,,,"1.6",1425583409983
java.vendor,sysinfo,,,"Apple Inc.",1425583409983
java.version,sysinfo,,,"1.6.0_65",1425583409983
java.vm.info,sysinfo,,,"mixed mode",1425583409983
java.vm.name,sysinfo,,,"Java HotSpot(TM) Client VM",1425583409983
java.vm.specification.name,sysinfo,,,"Java Virtual Machine Specification",1425583409983
java.vm.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1425583409983
java.vm.specification.version,sysinfo,,,"1.0",1425583409983
java.vm.vendor,sysinfo,,,"Apple Inc.",1425583409983
java.vm.version,sysinfo,,,"20.65-b04-466.1",1425583409983
started,bundle,org.eclipse.epp.usagedata.ui,1.3.1.R201102081640,"org.eclipse.epp.usagedata.ui",1425583411044
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1425583411366
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1425583420000
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1425583422396
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1425583423206
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1425583423410
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1425583423484
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1425583425929
error,log,,,"Problems occurred when invoking code from plug-in: ""org.eclipse.core.resources"".",1425583426902
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1425583427268
error,log,,,"Problems occurred when invoking code from plug-in: ""org.eclipse.core.resources"".",1425583427307
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1425583436946
opened,view,org.eclipse.ui.ide,3.6.2.M20101201-0800,"org.eclipse.ui.views.ProblemView",1425583502047
opened,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1425583525992
activated,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1425583526045
activated,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1425583536635
error,log,,,"Problems occurred when invoking code from plug-in: ""org.eclipse.core.resources"".",1425583692519
error,log,,,"Problems occurred when invoking code from plug-in: ""org.eclipse.core.resources"".",1425583692570
error,log,,,"Problems occurred when invoking code from plug-in: ""org.eclipse.core.resources"".",1425583692848
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1425583693016
error,log,,,"Problems occurred when invoking code from plug-in: ""org.eclipse.core.resources"".",1425583693676
error,log,,,"Problems occurred when invoking code from plug-in: ""org.eclipse.core.resources"".",1425583697959
error,log,,,"Problems occurred when invoking code from plug-in: ""org.eclipse.core.resources"".",1425583698064
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1425583698237
opened,view,org.eclipse.ui.console,3.5.0.v20100526,"org.eclipse.ui.console.ConsoleView",1425583698342
error,log,,,"Problems occurred when invoking code from plug-in: ""org.eclipse.core.resources"".",1425583750176
error,log,,,"Problems occurred when invoking code from plug-in: ""org.eclipse.core.resources"".",1425583750192
error,log,,,"Problems occurred when invoking code from plug-in: ""org.eclipse.core.resources"".",1425583750484
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1425583750675
error,log,,,"Problems occurred when invoking code from plug-in: ""org.eclipse.core.resources"".",1425583751351
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1425583761237
error,log,,,"Problems occurred when invoking code from plug-in: ""org.eclipse.core.resources"".",1425583778074
error,log,,,"Problems occurred when invoking code from plug-in: ""org.eclipse.core.resources"".",1425583778089
error,log,,,"Problems occurred when invoking code from plug-in: ""org.eclipse.core.resources"".",1425583778412
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1425583778597
error,log,,,"Problems occurred when invoking code from plug-in: ""org.eclipse.core.resources"".",1425583779278
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1425583788100
error,log,,,"Problems occurred when invoking code from plug-in: ""org.eclipse.core.resources"".",1425583830965
error,log,,,"Problems occurred when invoking code from plug-in: ""org.eclipse.core.resources"".",1425583830977
error,log,,,"Problems occurred when invoking code from plug-in: ""org.eclipse.core.resources"".",1425583831262
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1425583831462
error,log,,,"Problems occurred when invoking code from plug-in: ""org.eclipse.core.resources"".",1425583832138
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1425583836491
error,log,,,"Problems occurred when invoking code from plug-in: ""org.eclipse.core.resources"".",1425583863232
error,log,,,"Problems occurred when invoking code from plug-in: ""org.eclipse.core.resources"".",1425583863243
error,log,,,"Problems occurred when invoking code from plug-in: ""org.eclipse.core.resources"".",1425583863527
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1425583863688
error,log,,,"Problems occurred when invoking code from plug-in: ""org.eclipse.core.resources"".",1425583864457
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1425583893110
activated,view,org.eclipse.debug.ui,3.6.3.v20101201_r362,"org.eclipse.debug.ui.DebugView",1425583893267
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1425583905636
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1425583905800
activated,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1425583905886
